;;;;;;;;Please help us generate your participant code.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would like to know how you feel. The following words describe different kinds of feelings and perception. Read every word and mark the intensity on the scale. You have the choice between five gradations. Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;Now we would again like to know how you feel.  Please indicate how you generally feel.;;;;;;;;;;;;;;;;;;;;;;;;
number;external lfdn;tester;disposition code;last page;quality;time to complete survey;Condition;Participant ID;active;distressed;interested;excited;upset;strong;guilty;scared;hostile;inspired;proud;irritable;enthusiastic;ashamed;alert;nervous;determined;attentive;jittery;afraid;active;distressed;interested;excited;upset;strong;guilty;scared;hostile;inspired;proud;irritable;enthusiastic;ashamed;alert;nervous;determined;attentive;jittery;afraid;browser-id;http-referer;device type;quota;quota_assignment;quota_rejected_id;page history;hflip;vflip;output mode;javascript;flash;session id;language;datacleaning;absolute timestamp;datetime of survey start;date of last access;date of first mail;relative timestamp for page 7654530;relative timestamp for page 7654677;relative timestamp for page 7654678;relative timestamp for page 7654679;relative timestamp for page 7656237
lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;Condition;v_42;v_43;v_44;v_45;v_46;v_47;v_48;v_49;v_50;v_51;v_52;v_53;v_54;v_55;v_56;v_57;v_58;v_59;v_60;v_61;v_62;v_22;v_23;v_24;v_25;v_26;v_27;v_28;v_29;v_30;v_31;v_32;v_33;v_34;v_35;v_36;v_37;v_38;v_39;v_40;v_41;browser;referer;device_type;quota;quota_assignment;quota_rejected_id;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts7654530;rts7654677;rts7654678;rts7654679;rts7656237
13;0;0;31;7651622;-77;1671;speech;SP28S;3;1;4;3;1;1;1;1;1;2;2;1;3;1;3;1;2;4;1;1;4;2;3;2;1;1;1;1;1;3;1;1;2;1;3;2;2;2;1;1;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7654679,7654679,7654679,7654530,7656237,7651622;1;0;0;-77;-77;fd9efe631cdc5a11de4e99c6dae4ee52;1;0;1764165050;2025-11-26 13:50:50;2025-11-26 14:18:41;0000-00-00 00:00:00;1656;22;68;1617;1671
19;0;0;31;7651622;-77;1689;math;SP15K;4;1;4;4;1;3;1;1;1;3;3;1;3;1;2;3;4;4;2;1;5;3;4;3;2;4;1;2;2;3;2;1;2;1;5;1;2;4;1;1;"Mozilla/5.0 (iPhone; CPU iPhone OS 26_1_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.92 Mobile/15E148 Safari/604.1";-99;0;0;-66;0;7654677,7654677,7654677,7654678,7654679,7654530,7656237,7651622;1;0;0;-77;-77;8d9b6032fd9fd5c8df8faa3dd45fbb08;1;0;1765288233;2025-12-09 13:50:33;2025-12-09 14:18:42;0000-00-00 00:00:00;1672;13;157;1567;1689
21;0;0;31;7651622;-77;2899;speech;SS14I;3;2;5;5;1;3;1;1;1;5;3;2;5;1;4;2;5;4;2;1;5;1;5;5;1;4;1;1;1;5;4;1;5;1;5;2;5;5;1;1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;0;1;0;-77;-77;f27576d6192a413ca83315ab50486b9a;1;0;1765373355;2025-12-10 13:29:15;2025-12-10 14:17:34;0000-00-00 00:00:00;2892;1696;1787;2826;2899
29;0;0;31;7651622;-77;3225;math;SM18N;3;1;4;4;1;4;1;2;1;4;3;1;4;1;4;1;5;4;1;1;3;2;4;4;1;4;1;2;1;4;1;1;4;2;4;2;4;4;2;1;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;0;1;0;-77;-77;3da6cab84bc24474576015cee90910d2;1;0;1765379040;2025-12-10 15:04:00;2025-12-10 15:57:45;0000-00-00 00:00:00;3214;2197;2273;3151;3225
31;0;0;31;7651622;-77;2908;speech;RS17N;4;1;4;3;2;3;1;1;1;2;1;1;3;1;1;2;1;4;1;1;5;4;3;4;4;1;1;2;1;1;1;3;1;4;4;4;2;2;3;2;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;1;0;0;-77;-77;2aebdd0d01fe511245f509f8d5f7e88c;1;0;1765539598;2025-12-12 11:39:58;2025-12-12 12:28:26;0000-00-00 00:00:00;2895;1771;1823;1826;2908
32;0;0;31;7651622;-77;3008;math;NC15E;3;2;4;4;1;5;1;2;1;3;4;1;4;1;4;2;5;4;2;1;4;3;5;4;1;5;1;1;1;3;4;1;3;1;4;1;5;5;2;1;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;0;1;0;-77;-77;ea56ee8662f7a222fbf794c0e6f112f8;1;0;1765545564;2025-12-12 13:19:24;2025-12-12 14:09:32;0000-00-00 00:00:00;3004;1910;2004;2952;3008
33;0;0;31;7651622;-77;4137;speech;SM04F;3;2;4;3;1;4;3;2;1;4;4;2;4;1;4;1;4;4;2;1;3;2;4;4;1;4;1;1;3;4;4;2;4;1;4;2;5;3;1;1;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;1;0;0;-77;-77;09476404c8aa8805ecba554067c0d063;1;0;1765550721;2025-12-12 14:45:21;2025-12-12 15:54:18;0000-00-00 00:00:00;4128;3049;3099;4090;4137
34;0;0;31;7651622;-77;2728;math;SH16R;3;1;3;3;1;2;1;1;1;2;1;1;2;1;3;2;4;4;2;1;4;1;3;2;1;2;1;1;1;2;3;1;2;1;1;2;3;3;1;1;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;1;0;0;-77;-77;e818beb9cfcd8fefe6cb746950e9f98a;1;0;1765798784;2025-12-15 11:39:44;2025-12-15 12:25:12;0000-00-00 00:00:00;2719;1651;1693;2673;2728
35;0;0;31;7651622;-77;4666;speech;ED03K;3;2;4;4;1;2;1;1;1;1;1;1;2;1;3;2;3;4;2;1;3;2;4;3;1;1;1;1;1;1;1;1;1;1;2;1;1;3;2;1;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;1;0;0;-77;-77;0e798b544aab5d2eba979e9a238c81b9;1;0;1765802998;2025-12-15 12:49:58;2025-12-15 14:07:44;0000-00-00 00:00:00;4657;3605;3655;4613;4666
11;0;0;32;7651622;-77;-1;math;CB17R;2;2;2;3;1;1;1;3;2;2;1;3;2;1;2;4;2;1;2;2;1;3;1;2;3;1;1;1;2;1;2;3;2;5;4;4;3;2;3;2;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654677,7654677,7654677,7654678,7654678,7654679,7654530,7656237,7651622;1;1;0;-77;-77;78160721207e2ae2aabcb8b2741e75e2;1;0;1763987887;2025-11-24 12:38:07;2025-11-27 16:36:42;0000-00-00 00:00:00;272589;271254;271314;272546;273515
18;0;0;32;7651622;-77;-1;speech;LN07E;3;1;4;3;1;3;1;1;1;3;1;1;3;1;1;1;3;3;1;1;3;1;1;1;2;3;1;1;1;1;3;1;3;1;1;1;3;3;1;1;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Safari/537.36";-99;0;0;-66;0;7654677,7654678,7654679,7654530,7656237,7651622;0;0;0;-77;-77;c91379f39f1c5908022feaf36379fd0e;1;0;1765202689;2025-12-08 14:04:49;2025-12-09 13:30:37;0000-00-00 00:00:00;1227;21;94;1195;84348